"Guid","Description","OpportunityId","Quantity","SBQQ__ParentID__c","SBQQ__QuoteLine__c","SBQQ__SubscriptionType__c","ServiceDate","SortOrder","TotalPrice","UnitPrice","sbaa__ApprovalStatus__c"
0004e76e-8e19-420c-bee3-8bd31cef06ce,"#N/A",4cb28670-cfbe-486c-8f8c-6e350bc88d8c,10.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5800.0,580.0,"#N/A"
00094c7e-bd8a-42f4-ab9a-fc3378b992fc,"#N/A",fa8dce8a-2c63-4f90-aebb-6824c30a04f7,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00220531-8708-40fa-b494-d14cd8677c97,"#N/A",6820cdd8-1f31-44b7-9285-4a47a77312b8,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
006b4bfd-8e00-40aa-a8ba-9ea07d964978,"#N/A",e74236d0-9479-4de9-a9ae-6bfbab4c8281,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
007c171f-ac73-4444-a879-de4bae2523c5,"#N/A",08981b0e-f5fe-40ca-be03-bf83ca6f1247,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
008ccf4f-0f4c-447f-b147-ee77903f0b5a,"#N/A",cf8b1974-a0ec-4c5f-b74e-7a57d3b66536,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1000.0,1000.0,"#N/A"
008fd799-75f9-4b6f-8162-9091c490efb7,"#N/A",7276547c-e276-4d67-829f-9ce9fd026516,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00a99120-3fdb-4fd0-9e9e-5bab020cafb8,"#N/A",087f8f60-d857-4eaf-881f-304a81df7db7,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
00ac0774-7ee0-4328-a792-1a5e51a8d92c,"#N/A",93ce5c06-988c-4bc6-9fcc-092950a1b523,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",6750.0,450.0,"#N/A"
00b5497e-80b5-4078-8803-5c5253b041b8,"#N/A",e327cd81-9dcd-4711-845b-9028b7b48ae8,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
00b7a22a-be3b-42ae-95ed-238cce52ac0b,"#N/A",5cf64c1c-8a72-44a2-ab02-2794b89a962e,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00c1428f-2b4e-4305-be01-2e8ac622a14e,"#N/A",bce9c391-dd7e-4aa0-992b-ab229ee0b890,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
00e8a26f-3557-4009-b2e6-07246389926d,"#N/A",471f3730-f86e-4f7f-935a-1c4a3df7e7b8,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",4500.0,300.0,"#N/A"
00ecb39c-37c3-4b24-b33d-5fdcb9f1cb2a,"#N/A",c92fe599-a864-4d16-9837-85579fefb295,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
00edbb79-d73c-49bd-82b6-df3432a62bd5,"#N/A",ff90eb65-480d-4f87-b415-fdb1059c3468,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
011b29d5-423e-4747-9d52-bbc109d66ace,"#N/A",fa2cbc90-9ffb-4b74-b860-9bcbea4fd565,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
01482d5d-4243-4a83-aedb-0bf11fcb8d58,"#N/A",04a549de-9eff-4af5-b1d5-67aeb42169f8,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
0162948f-8cd9-4e78-8ab3-01e5054ea35f,"#N/A",1f750db6-93d0-4f08-9ff0-ee637758f61b,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
